Census Tract,MedianGrossRent,MedianIncome,MeanTravel,NumFoodStamps,BachelorsUp,Internet,AverageFamSize
1.01,2129,187839,20.3,0,0.9,0.96,2.62
1.02,3501,184167,26.8,0,0.91,0.97,2.34
2.02,2500,164261,23.7,15,0.88,0.99,2.68
3,1947,156483,27.3,15,0.91,0.94,3.04
4,2273,153397,26.5,0,0.84,0.92,3.49
5.01,2084,119911,28.6,3,0.9,0.99,2.43
5.02,2109,153264,27.7,8,0.88,0.97,2.92
6,1753,154266,27.4,142,0.82,0.92,3.06
7.02,1719,71747,26.1,0,0.8,0.87,2.47
7.03,1819,120156,32.1,0,0.83,0.91,2.54
7.04,1719,86733,30.3,0,0.87,0.96,2.96
8.02,1874,159375,24,0,0.89,0.94,2.91
8.03,3501,121417,29.4,14,0.94,0.96,2.7
8.04,1816,247946,24.5,34,0.88,0.98,3.37
9.02,3271,219250,24.3,2,0.87,0.97,3.2
9.03,2250,250001,20.7,0,0.91,1,3.31
9.04,1567,250001,24.2,0,0.89,0.94,2.92
10.02,1971,140772,28.7,0,0.92,0.96,3.24
10.04,1372,183516,29.9,0,0.87,0.89,3.07
11,1686,119894,29.3,0,0.89,0.88,3.15
12,1794,119556,30.7,13,0.86,0.94,2.7
13.01,1916,100744,29.7,52,0.88,0.81,3.26
13.03,2080,88207,28.4,93,0.89,0.94,2.16
13.04,2046,111649,31.2,21,0.89,0.93,1.91
14.01,1706,174444,36.9,12,0.9,0.98,3.51
14.02,1586,143523,27.1,140,0.82,0.79,3.15
15,3501,228750,32.6,0,0.84,0.92,3.27
16,2220,178493,34.4,51,0.75,0.94,3.73
17.02,1809,115000,36.7,110,0.67,0.91,3.52
18.03,1237,54306,35.4,271,0.34,0.73,3.62
18.04,1153,47535,36.8,340,0.35,0.69,4.8
19.01,649,67381,38.1,172,0.46,0.83,3.39
19.02,1117,116250,42.9,54,0.47,0.87,3.66
20.01,1331,51250,33.4,128,0.32,0.86,3.27
20.02,1583,211875,34.9,60,0.63,0.9,3.81
21.01,1318,68828,36.3,398,0.47,0.79,3.35
21.02,1246,81250,35,157,0.46,0.89,3.27
22.01,1393,104226,31.3,116,0.49,0.89,4.56
22.02,1361,59083,36.8,162,0.47,0.84,3.67
23.01,1194,154391,33.3,19,0.61,0.8,3.23
23.02,2106,75208,30,23,0.64,0.56,2.89
24,1984,111061,36.5,48,0.51,0.94,3.41
25.01,1063,143281,36.1,152,0.39,0.75,3.7
25.03,1450,80682,30.3,184,0.58,0.84,2.92
25.04,1519,79647,33.1,107,0.45,0.81,4.91
26,1620,191484,31.7,9,0.82,0.92,3.67
27.02,1672,113250,30.8,96,0.71,0.9,3.27
27.03,1546,106250,35,151,0.71,0.85,3.42
27.04,1485,75194,31.5,0,0.59,0.95,4.2
28.01,1596,62323,34.1,228,0.63,0.85,3.61
28.02,1244,72582,32,490,0.62,0.78,3.05
29,1771,148125,31.5,114,0.67,0.92,3.64
30,1174,88125,32.7,258,0.64,0.79,3.8
31,1762,133408,33.7,86,0.73,0.82,3.72
32,1654,117563,35.2,211,0.45,0.83,4.23
33.01,3248,160536,32.3,73,0.82,0.92,2.74
33.02,1978,139485,37.3,27,0.85,0.94,3.19
34,1692,104485,30.9,106,0.62,0.8,3.22
35,2115,75816,27.1,140,0.67,0.81,3.13
36,1767,107610,29.5,112,0.75,0.85,3.26
37.01,2087,88654,27.1,52,0.81,0.98,2.98
37.02,879,41719,29.7,252,0.52,0.87,3.45
38.01,1801,102980,31.7,15,0.95,1,2.54
38.02,1961,135094,32.3,124,0.83,0.93,2.51
39.01,1794,123465,30.2,65,0.89,0.98,2.25
39.02,2270,135211,32.4,0,0.82,0.95,2.63
40.01,1992,153650,30.2,19,0.94,0.97,2.68
40.02,2289,154792,28.1,0,0.92,0.98,2.48
41,2133,160313,25.2,0,0.91,0.94,2.72
42.01,2085,132386,34.1,40,0.92,0.94,3.03
42.02,1896,105449,22.8,18,0.96,0.96,2.14
43,2172,112197,29.9,81,0.85,0.86,2.97
44.01,3174,180293,27.9,43,0.93,0.97,3.12
44.02,2543,138750,25.9,43,0.64,0.93,3.96
46,1630,129896,28.7,189,0.65,0.85,3.07
47.02,2615,136979,24.8,20,0.79,0.95,2.54
47.03,1750,89310,28.8,39,0.6,0.88,2.56
47.04,598,30174,28.7,220,0.11,0.64,3.63
48.01,2013,109453,29,110,0.72,0.79,2.94
48.02,1765,118500,23.6,142,0.63,0.87,2.8
49.01,2269,96932,28,138,0.73,0.89,2.82
49.02,2020,159625,25.2,165,0.78,0.94,3.11
50.01,2345,184722,27.1,29,0.86,0.92,2.1
50.03,2144,116250,27.3,62,0.91,0.95,2.64
50.04,1620,76964,23.9,414,0.69,0.8,3.3
52.02,2476,133927,27.1,52,0.87,0.92,2.27
52.03,1735,74078,27.6,112,0.72,0.93,2.33
53.02,2083,87981,25.2,27,0.96,0.98,2.82
53.03,1900,97181,25.2,0,0.93,0.94,2.15
55.01,1986,113922,19.4,0,0.89,0.96,1.93
55.02,2263,105351,21.2,0,0.83,0.97,2.33
55.03,3317,173255,17.4,0,1,1,2.32
56.01,1879,67840,23.9,0,0.92,0.98,2.2
56.02,1880,108327,17.8,113,0.92,0.84,2.23
58.01,2311,114452,24.1,124,0.68,0.92,2.73
58.02,2809,162500,17.7,7,0.9,0.92,2.15
59,2247,111347,25.4,197,0.72,0.88,2.39
64,703,27574,25.4,544,0.38,0.59,3.03
65,2248,118508,23.2,7,0.83,0.97,2.95
66,2324,133967,30.6,0,0.92,1,2.54
67,1775,124107,31.3,7,0.88,0.95,3.01
68.01,1966,109863,32.4,49,0.7,0.96,2.94
68.02,2241,124722,30.7,29,0.75,0.89,2.93
69,2494,178611,25.1,47,0.88,0.89,3.01
70,2515,149750,20.6,2,0.89,0.97,2.83
71,1600,88281,31,317,0.55,0.89,4.4
72.01,2522,124013,24.8,40,0.88,0.99,2.03
72.02,2492,144005,28.8,14,0.95,0.98,2.24
72.03,2078,136563,24.6,216,0.83,0.9,2.81
73.01,2722,104744,16.5,9,0.64,0.99,3.55
73.04,1233,34414,34,470,0.15,0.78,3.61
74.01,746,14859,40.8,362,0.14,0.6,3.42
74.03,1237,24860,37.7,403,0.07,0.76,3.99
74.04,1354,64607,32.4,341,0.18,0.69,4.25
74.06,1515,23125,34.9,414,0.18,0.68,4.33
74.07,1168,34714,33.8,545,0.23,0.8,3.41
74.08,1194,24583,44.3,440,0.12,0.62,4.01
74.09,1056,30455,43.4,821,0.14,0.7,3.6
75.02,1053,28743,33.2,741,0.12,0.61,4.16
75.03,994,35000,31.3,366,0.22,0.76,4.56
75.04,1054,16844,38.5,259,0.18,0.71,3.59
76.01,1061,40330,36,723,0.31,0.74,3.79
76.03,996,60833,37.1,288,0.5,0.88,3.76
76.04,1156,72946,33.1,438,0.27,0.85,3.52
76.05,1146,39896,35,443,0.22,0.78,3.99
77.03,1046,46156,32.7,751,0.08,0.65,4.66
77.07,712,32354,34.4,554,0.22,0.7,4.19
77.08,1042,37803,32.8,519,0.06,0.58,3.8
77.09,1027,27798,38.7,321,0.19,0.68,3.21
78.03,1074,31846,41.9,412,0.19,0.79,3.82
78.04,1544,55910,35.5,447,0.26,0.75,3.64
78.06,1043,37697,37.5,279,0.25,0.73,3.43
78.07,1174,49514,42.1,209,0.13,0.75,3.66
78.08,934,47159,36.2,462,0.24,0.79,3.73
78.09,1103,52592,42.9,296,0.14,0.8,4.54
79.01,1313,83279,34.7,401,0.51,0.8,4.05
79.03,1484,98654,34.2,76,0.44,0.91,3.57
80.01,2416,167067,32.1,9,0.79,0.98,2.86
80.02,1903,159022,27.6,100,0.79,0.86,3.36
81,1900,145907,31.3,0,0.88,0.79,3.08
82,2113,142014,27.2,0,0.92,0.97,2.94
83.01,2671,160970,30.2,34,0.89,0.99,2.69
83.02,2338,158878,30.1,0,0.87,0.97,3.17
84.02,1470,94924,28,95,0.8,0.9,2.83
84.1,2601,187031,32.3,33,0.85,0.95,2.93
87.01,2113,123370,35.7,56,0.69,0.92,3.18
87.02,1774,93174,31.3,105,0.67,0.91,3.33
88.02,1119,61165,39,238,0.39,0.73,3.96
88.03,1375,60819,27.6,230,0.29,0.76,4.03
88.04,1151,65486,36.4,311,0.32,0.8,4.03
89.03,1504,68248,33.5,204,0.5,0.86,3.58
89.04,1118,47694,36.1,526,0.32,0.69,3.48
90,856,54111,32.6,289,0.4,0.71,3.08
91.02,998,43697,30.4,324,0.38,0.85,3.63
92.01,1810,92000,26.3,26,0.78,0.93,3.31
92.03,1781,87598,33.7,288,0.51,0.96,2.96
92.04,1045,36132,41.5,370,0.23,0.62,3.38
93.01,1227,149350,30.8,80,0.66,0.94,3.19
93.02,1636,91576,32.5,24,0.57,0.96,2.86
94,1208,120824,32.9,127,0.54,0.87,4.14
95.03,1552,106125,34.6,50,0.55,0.92,3.11
95.04,1313,113958,32.7,55,0.57,0.85,3.32
95.05,1800,82169,32.9,78,0.41,0.84,4.05
95.07,1325,72880,39.4,77,0.29,0.8,4.51
95.08,1784,58250,31.3,278,0.3,0.83,4.17
95.09,2458,86042,31.1,36,0.41,0.83,4.06
95.1,1354,51183,29.1,431,0.23,0.69,4.7
96.01,656,33098,33,275,0.25,0.63,3.78
96.02,1130,22813,31.5,786,0.18,0.68,3.34
96.03,1107,49054,34.5,426,0.17,0.59,3.57
96.04,1253,72872,37.4,136,0.23,0.74,4.44
97,968,36095,39.1,364,0.29,0.67,3.86
98.01,722,13510,41.3,530,0.06,0.45,4.38
98.02,1250,54432,42.1,544,0.18,0.75,2.88
98.03,1063,29000,40.8,380,0.08,0.69,3.8
98.04,1178,43017,36.9,308,0.17,0.81,4.01
98.07,1169,55000,46.1,512,0.19,0.68,3.24
98.1,1110,47630,39.8,394,0.07,0.78,3.64
98.11,954,34275,45.2,737,0.05,0.65,4.13
99.01,897,104816,35,135,0.48,0.88,3.49
99.02,1330,87401,35.6,203,0.15,0.87,3.47
99.03,994,61172,38.8,131,0.27,0.88,4.92
99.04,1068,48125,36.3,262,0.21,0.7,4.03
99.05,1230,50037,35.3,322,0.19,0.67,3.56
99.06,1003,36938,34,295,0.24,0.67,3.12
99.07,768,37000,34,426,0.16,0.77,3.96
101,2060,120483,22.4,18,0.84,0.94,2.19
102.01,2202,85648,28.8,38,0.85,0.95,2.49
102.02,1719,100333,24.8,111,0.76,0.87,2.51
103,1309,95313,43.9,95,0.46,0.87,3.74
104,966,80474,40.8,582,0.19,0.87,3.67
105,1554,92083,26.3,132,0.74,0.93,3.11
106.01,2272,95758,26.5,71,0.71,0.89,2.92
106.02,2540,150614,27.8,85,0.79,0.89,2.88
106.03,2609,117945,31.6,1,0.87,1,2.18
107,2159,89570,23,8,0.82,0.92,2.35
108,1757,32466,16.1,26,0.83,0.93,2.4
109,1170,39298,31.4,562,0.18,0.75,3.95
110.01,1958,115114,25.1,45,0.74,0.86,2.41
110.02,1723,105182,27.3,18,0.77,0.83,2.23
111,1313,63625,31.1,421,0.4,0.8,4.53